id,text,survey_item_code,survey_item_codes,raw_survey_item_code,source
IPIP_FULL_0859,Can't sleep for nights on end but remain active during the daytime.,A50,['A50'],A50,IPIP Alphabetical Item List
IPIP_FULL_0860,"Can't speak (or only with great effort), or can only whisper.",A38,['A38'],A38,IPIP Alphabetical Item List
IPIP_FULL_0861,Can't stand aggressive people.,E5,['E5'],E5,IPIP Alphabetical Item List
IPIP_FULL_0862,Can't stand being alone.,H985,['H985'],H985,IPIP Alphabetical Item List
IPIP_FULL_0863,Can't stand being contradicted.,H292,['H292'],H292,IPIP Alphabetical Item List
IPIP_FULL_0864,Can't stand being late.,P470,['P470'],P470,IPIP Alphabetical Item List
IPIP_FULL_0865,Can't stand confrontations.,X206,['X206'],X206,IPIP Alphabetical Item List
IPIP_FULL_0866,Can't stand impolite people.,E107,['E107'],E107,IPIP Alphabetical Item List
IPIP_FULL_0867,Can't stand nosey people.,E41,['E41'],E41,IPIP Alphabetical Item List
IPIP_FULL_0868,Can't stand on my own.,H973,['H973'],H973,IPIP Alphabetical Item List
IPIP_FULL_0869,Can't stand pushy people.,E142,['E142'],E142,IPIP Alphabetical Item List
IPIP_FULL_0870,Can't stand quarrels.,H547,['H547'],H547,IPIP Alphabetical Item List
IPIP_FULL_0871,Can't stand rude people.,E62,['E62'],E62,IPIP Alphabetical Item List
IPIP_FULL_0872,Can't stand waiting.,H757,['H757'],H757,IPIP Alphabetical Item List
IPIP_FULL_0873,Can't stand weak people.,E78,['E78'],E78,IPIP Alphabetical Item List
IPIP_FULL_0874,"Can't swallow, or only with a great effort.",A62,['A62'],A62,IPIP Alphabetical Item List
IPIP_FULL_0875,Can't think clearly when under pressure.,T733,['T733'],T733,IPIP Alphabetical Item List
IPIP_FULL_0876,Care about justice.,H176,['H176'],H176,IPIP Alphabetical Item List
IPIP_FULL_0877,Care about others.,Q128,['Q128'],Q128,IPIP Alphabetical Item List
IPIP_FULL_0878,Carry around something that gives me good luck.,T745,['T745'],T745,IPIP Alphabetical Item List
IPIP_FULL_0879,Carry out my plans.,H258,['H258'],H258,IPIP Alphabetical Item List
IPIP_FULL_0880,Carry the conversation to a higher level.,H1227,['H1227'],H1227,IPIP Alphabetical Item List
IPIP_FULL_0881,Catch on to things quickly.,X275,['X275'],X275,IPIP Alphabetical Item List
IPIP_FULL_0882,Cause accidents.,H1414,['H1414'],H1414,IPIP Alphabetical Item List
IPIP_FULL_0883,Challenge others' points of view.,H577,['H577'],H577,IPIP Alphabetical Item List
IPIP_FULL_0884,Change my mind.,H860,['H860'],H860,IPIP Alphabetical Item List
IPIP_FULL_0885,Change my mood a lot.,H926,['H926'],H926,IPIP Alphabetical Item List
IPIP_FULL_0886,Change myself to suit others.,E147,['E147'],E147,IPIP Alphabetical Item List
IPIP_FULL_0887,Chatter away aimlessly.,H538,['H538'],H538,IPIP Alphabetical Item List
IPIP_FULL_0888,Cheat on people who have trusted me.,Q22,['Q22'],Q22,IPIP Alphabetical Item List
IPIP_FULL_0889,Cheat to get ahead.,X198,['X198'],X198,IPIP Alphabetical Item List
IPIP_FULL_0890,Cheated my way through school.,T753,['T753'],T753,IPIP Alphabetical Item List
IPIP_FULL_0891,Check on things more often than necessary.,R79,['R79'],R79,IPIP Alphabetical Item List
IPIP_FULL_0892,Check over my work.,H232,['H232'],H232,IPIP Alphabetical Item List
IPIP_FULL_0893,Cheer loudly at sporting events.,E48,['E48'],E48,IPIP Alphabetical Item List
IPIP_FULL_0894,Cheer people up.,H1151,['H1151'],H1151,IPIP Alphabetical Item List
IPIP_FULL_0895,Cherish mementos.,E152,['E152'],E152,IPIP Alphabetical Item List
IPIP_FULL_0896,Choose my words with care.,H673,['H673'],H673,IPIP Alphabetical Item List
IPIP_FULL_0897,Choose the easy way.,H833,['H833'],H833,IPIP Alphabetical Item List
IPIP_FULL_0898,Claim to be able to do everything.,H751,['H751'],H751,IPIP Alphabetical Item List
IPIP_FULL_0899,Collect things that I don't need.,R14,['R14'],R14,IPIP Alphabetical Item List
IPIP_FULL_0900,Collect things that no one else wants.,V136,['V136'],V136,IPIP Alphabetical Item List
IPIP_FULL_0901,Come straight to the point.,H2008,['H2008'],H2008,IPIP Alphabetical Item List
IPIP_FULL_0902,Come up with a solution right away.,H393,['H393'],H393,IPIP Alphabetical Item List
IPIP_FULL_0903,Come up with alternatives.,H479,['H479'],H479,IPIP Alphabetical Item List
IPIP_FULL_0904,Come up with bold plans.,H447,['H447'],H447,IPIP Alphabetical Item List
IPIP_FULL_0905,Come up with excuses to avoid meeting new people.,T761,['T761'],T761,IPIP Alphabetical Item List
IPIP_FULL_0906,Come up with good solutions.,H2009,['H2009'],H2009,IPIP Alphabetical Item List
IPIP_FULL_0907,Come up with new ways to do things.,V155,['V155'],V155,IPIP Alphabetical Item List
IPIP_FULL_0908,Come up with something new.,H1230,['H1230'],H1230,IPIP Alphabetical Item List
IPIP_FULL_0909,Come up with unworkable plans.,H1468,['H1468'],H1468,IPIP Alphabetical Item List
IPIP_FULL_0910,Comment loudly about others.,H1429,['H1429'],H1429,IPIP Alphabetical Item List
IPIP_FULL_0911,Complete my duties as soon as possible.,Q163,['Q163'],Q163,IPIP Alphabetical Item List
IPIP_FULL_0912,Complete tasks successfully.,H1285,['H1285'],H1285,IPIP Alphabetical Item List
IPIP_FULL_0913,Conform to others' opinions.,H1056,['H1056'],H1056,IPIP Alphabetical Item List
IPIP_FULL_0914,Confuse fantasies with real memories.,A82,['A82'],A82,IPIP Alphabetical Item List
IPIP_FULL_0915,Consider my behavior to be pretty average.,T767,['T767'],T767,IPIP Alphabetical Item List
IPIP_FULL_0916,Consider my motives before acting.,E2,['E2'],E2,IPIP Alphabetical Item List
IPIP_FULL_0917,Consider myself a disabled person.,Q149,['Q149'],Q149,IPIP Alphabetical Item List
IPIP_FULL_0918,Consider myself an average person.,X125,['X125'],X125,IPIP Alphabetical Item List
IPIP_FULL_0919,Consider myself good-looking.,Q162,['Q162'],Q162,IPIP Alphabetical Item List
IPIP_FULL_0920,Consider myself old.,Q63,['Q63'],Q63,IPIP Alphabetical Item List
IPIP_FULL_0921,Consider myself to be a wise person.,V288,['V288'],V288,IPIP Alphabetical Item List
IPIP_FULL_0922,Consider others' advice.,H1275,['H1275'],H1275,IPIP Alphabetical Item List
IPIP_FULL_0923,Consider others' opinions.,H1342,['H1342'],H1342,IPIP Alphabetical Item List
IPIP_FULL_0924,Consult the library or the Internet immediately if I want to know something.,V256,['V256'],V256,IPIP Alphabetical Item List
IPIP_FULL_0925,Continue until everything is perfect.,H286,['H286'],H286,IPIP Alphabetical Item List
IPIP_FULL_0926,Contradict others.,H808,['H808'],H808,IPIP Alphabetical Item List
IPIP_FULL_0927,Control others by my anger.,V176,['V176'],V176,IPIP Alphabetical Item List
IPIP_FULL_0928,Cope poorly with stress.,T780,['T780'],T780,IPIP Alphabetical Item List
IPIP_FULL_0929,Copy others.,H1041,['H1041'],H1041,IPIP Alphabetical Item List
IPIP_FULL_0930,Could be a success in many fields.,R57,['R57'],R57,IPIP Alphabetical Item List
IPIP_FULL_0931,Could easily live without having sex.,T784,['T784'],T784,IPIP Alphabetical Item List
IPIP_FULL_0932,Could go months without a thought of sex crossing my mind.,T785,['T785'],T785,IPIP Alphabetical Item List
IPIP_FULL_0933,Could never imagine hurting another person.,T786,['T786'],T786,IPIP Alphabetical Item List
IPIP_FULL_0934,"Could never stop loving my family and close friends, no matter what they did.",V166,['V166'],V166,IPIP Alphabetical Item List
IPIP_FULL_0935,Could not get going.,N20,['N20'],N20,IPIP Alphabetical Item List
IPIP_FULL_0936,Could stare at a painting or picture for hours.,T788,['T788'],T788,IPIP Alphabetical Item List
IPIP_FULL_0937,Count on others too much.,H886,['H886'],H886,IPIP Alphabetical Item List
IPIP_FULL_0938,Counter others' arguments.,H1360,['H1360'],H1360,IPIP Alphabetical Item List
IPIP_FULL_0939,Crave romantic touch.,T790,['T790'],T790,IPIP Alphabetical Item List
IPIP_FULL_0940,Crave the attention I get after hurting myself.,T791,['T791'],T791,IPIP Alphabetical Item List
IPIP_FULL_0941,Crave the experience of great art.,V316,['V316'],V316,IPIP Alphabetical Item List
IPIP_FULL_0942,Create problems for others.,H2010,['H2010'],H2010,IPIP Alphabetical Item List
IPIP_FULL_0943,Create something of value out of nothing.,H1236,['H1236'],H1236,IPIP Alphabetical Item List
IPIP_FULL_0944,Criticize others' shortcomings.,H279,['H279'],H279,IPIP Alphabetical Item List
IPIP_FULL_0945,Cry during movies.,H2011,['H2011'],H2011,IPIP Alphabetical Item List
IPIP_FULL_0946,Cry easily.,H2012,['H2012'],H2012,IPIP Alphabetical Item List
IPIP_FULL_0947,Cut conversations short.,H1081,['H1081'],H1081,IPIP Alphabetical Item List
IPIP_FULL_0948,Cut others to pieces.,H422,['H422'],H422,IPIP Alphabetical Item List
IPIP_FULL_0949,Dare to say anything.,H450,['H450'],H450,IPIP Alphabetical Item List
IPIP_FULL_0950,Deal efficiently with practical matters.,Q227,['Q227'],Q227,IPIP Alphabetical Item List
IPIP_FULL_0951,Deal with anger by acting out.,T798,['T798'],T798,IPIP Alphabetical Item List
IPIP_FULL_0952,Deceive people.,H1096,['H1096'],H1096,IPIP Alphabetical Item List
IPIP_FULL_0953,Decide things for others.,H775,['H775'],H775,IPIP Alphabetical Item List
IPIP_FULL_0954,Decide things on my own.,H411,['H411'],H411,IPIP Alphabetical Item List
IPIP_FULL_0955,Defend my own beliefs.,Q148,['Q148'],Q148,IPIP Alphabetical Item List
IPIP_FULL_0956,Demand a lot from others.,H280,['H280'],H280,IPIP Alphabetical Item List
IPIP_FULL_0957,Demand attention.,H525,['H525'],H525,IPIP Alphabetical Item List
IPIP_FULL_0958,Demand explanations from others.,H285,['H285'],H285,IPIP Alphabetical Item List
IPIP_FULL_0959,Demand obedience.,H779,"['H779', 'X66']","H779, X66",IPIP Alphabetical Item List
IPIP_FULL_0960,Demand perfection in myself.,T806,['T806'],T806,IPIP Alphabetical Item List
IPIP_FULL_0961,Demand perfection in others.,H290,['H290'],H290,IPIP Alphabetical Item List
IPIP_FULL_0962,Demand quality.,H288,['H288'],H288,IPIP Alphabetical Item List
IPIP_FULL_0963,Demand the impossible of others.,H810,['H810'],H810,IPIP Alphabetical Item List
IPIP_FULL_0964,Demand to be the center of interest.,H769,['H769'],H769,IPIP Alphabetical Item List
IPIP_FULL_0965,Deny others their turn.,H772,['H772'],H772,IPIP Alphabetical Item List
IPIP_FULL_0966,"Depend on science to explain ""miracles.""",P424,['P424'],P424,IPIP Alphabetical Item List
IPIP_FULL_0967,Describe lots of irrelevant details when telling a story.,T812,['T812'],T812,IPIP Alphabetical Item List
IPIP_FULL_0968,Deserve more than I am getting.,T815,['T815'],T815,IPIP Alphabetical Item List
IPIP_FULL_0969,Deserve special treatment from others.,T816,['T816'],T816,IPIP Alphabetical Item List
IPIP_FULL_0970,Deserve the very best of everything.,V205,['V205'],V205,IPIP Alphabetical Item List
IPIP_FULL_0971,Deserve to be admired.,T818,['T818'],T818,IPIP Alphabetical Item List
IPIP_FULL_0972,Detect mistakes.,H1293,['H1293'],H1293,IPIP Alphabetical Item List
IPIP_FULL_0973,Detest working.,H816,['H816'],H816,IPIP Alphabetical Item List
IPIP_FULL_0974,"Did not feel like eating, even though I should have been hungry.",N03,['N03'],N03,IPIP Alphabetical Item List
IPIP_FULL_0975,Disapprove of gift giving because it encourages weakness.,V101,['V101'],V101,IPIP Alphabetical Item List
IPIP_FULL_0976,Disclose my intimate thoughts.,H2013,['H2013'],H2013,IPIP Alphabetical Item List
IPIP_FULL_0977,Discuss my health problems with my family and friends.,C22,['C22'],C22,IPIP Alphabetical Item List
IPIP_FULL_0978,Dislike being around happy people when I'm feeling sad.,A2,['A2'],A2,IPIP Alphabetical Item List
IPIP_FULL_0979,Dislike being complimented.,P410,['P410'],P410,IPIP Alphabetical Item List
IPIP_FULL_0980,Dislike being the center of attention.,X169,['X169'],X169,IPIP Alphabetical Item List
IPIP_FULL_0981,Dislike changes.,H1063,"['H1063', 'X43']","H1063, X43",IPIP Alphabetical Item List
IPIP_FULL_0982,Dislike children's birthday parties.,A42,['A42'],A42,IPIP Alphabetical Item List
IPIP_FULL_0983,Dislike competing with others.,X108,['X108'],X108,IPIP Alphabetical Item List
IPIP_FULL_0984,Dislike having authority over others.,P341,['P341'],P341,IPIP Alphabetical Item List
IPIP_FULL_0985,Dislike having to do more than one task at a time.,X208,['X208'],X208,IPIP Alphabetical Item List
IPIP_FULL_0986,Dislike imperfect work.,H271,['H271'],H271,IPIP Alphabetical Item List
IPIP_FULL_0987,Dislike incompetence.,X96,['X96'],X96,IPIP Alphabetical Item List
IPIP_FULL_0988,Dislike learning.,H1401,['H1401'],H1401,IPIP Alphabetical Item List
IPIP_FULL_0989,Dislike looking at my body.,P414,['P414'],P414,IPIP Alphabetical Item List
IPIP_FULL_0990,Dislike looking at myself in the mirror.,P349,['P349'],P349,IPIP Alphabetical Item List
IPIP_FULL_0991,Dislike loud music.,X215,['X215'],X215,IPIP Alphabetical Item List
IPIP_FULL_0992,Dislike movies with happy Hollywood endings.,X256,['X256'],X256,IPIP Alphabetical Item List
IPIP_FULL_0993,Dislike myself.,X15,['X15'],X15,IPIP Alphabetical Item List
IPIP_FULL_0994,Dislike neighbors living too close.,E131,['E131'],E131,IPIP Alphabetical Item List
IPIP_FULL_0995,Dislike neon signs and florescent colors.,X172,['X172'],X172,IPIP Alphabetical Item List
IPIP_FULL_0996,Dislike new foods.,E36,['E36'],E36,IPIP Alphabetical Item List
IPIP_FULL_0997,Dislike routine.,X122,['X122'],X122,IPIP Alphabetical Item List
IPIP_FULL_0998,Dislike smells that I usually like.,A31,['A31'],A31,IPIP Alphabetical Item List
IPIP_FULL_0999,Dislike surprises.,X221,['X221'],X221,IPIP Alphabetical Item List
IPIP_FULL_1000,Dislike taking responsibility for making decisions.,P359,['P359'],P359,IPIP Alphabetical Item List
IPIP_FULL_1001,Dislike talking about myself.,X212,['X212'],X212,IPIP Alphabetical Item List
IPIP_FULL_1002,Dislike tastes that I usually like.,A34,['A34'],A34,IPIP Alphabetical Item List
IPIP_FULL_1003,Dislike the unknown.,H1458,['H1458'],H1458,IPIP Alphabetical Item List
IPIP_FULL_1004,Dislike when my friends spend too much time with other friends.,T843,['T843'],T843,IPIP Alphabetical Item List
IPIP_FULL_1005,Dislike work.,Q48,['Q48'],Q48,IPIP Alphabetical Item List
IPIP_FULL_1006,Dislike works of fiction.,X230,['X230'],X230,IPIP Alphabetical Item List
IPIP_FULL_1007,Disliked math in school.,X117,['X117'],X117,IPIP Alphabetical Item List
IPIP_FULL_1008,Disregard rules.,H88,['H88'],H88,IPIP Alphabetical Item List
IPIP_FULL_1009,Disregard the opinions of others.,H426,['H426'],H426,IPIP Alphabetical Item List
IPIP_FULL_1010,Distrust people.,H1195,"['H1195', 'X12']","H1195, X12",IPIP Alphabetical Item List
IPIP_FULL_1011,Distrust the medical profession to handle my health.,T848,['T848'],T848,IPIP Alphabetical Item List
IPIP_FULL_1012,Do a lot in my spare time.,H79,['H79'],H79,IPIP Alphabetical Item List
IPIP_FULL_1013,Do a lot of things just to avoid getting sick.,C3,['C3'],C3,IPIP Alphabetical Item List
IPIP_FULL_1014,Do as I am told.,H1062,['H1062'],H1062,IPIP Alphabetical Item List
IPIP_FULL_1015,Do crazy things.,H870,['H870'],H870,IPIP Alphabetical Item List
IPIP_FULL_1016,Do dangerous things.,H876,['H876'],H876,IPIP Alphabetical Item List
IPIP_FULL_1017,Do everything I say I will do.,Q44,['Q44'],Q44,IPIP Alphabetical Item List
IPIP_FULL_1018,Do favors for others only so I can ask for something for myself later.,T854,['T854'],T854,IPIP Alphabetical Item List
IPIP_FULL_1019,Do improper things.,H897,['H897'],H897,IPIP Alphabetical Item List
IPIP_FULL_1020,Do just enough work to get by.,X115,['X115'],X115,IPIP Alphabetical Item List
IPIP_FULL_1021,Do many things with ease.,H1320,['H1320'],H1320,IPIP Alphabetical Item List
IPIP_FULL_1022,Do more than what's expected of me.,H2014,['H2014'],H2014,IPIP Alphabetical Item List
IPIP_FULL_1023,Do most of the talking.,H4,['H4'],H4,IPIP Alphabetical Item List
IPIP_FULL_1024,Do my best to avoid arguments.,A39,['A39'],A39,IPIP Alphabetical Item List
IPIP_FULL_1025,Do my tasks only just before they need to be done.,V275,['V275'],V275,IPIP Alphabetical Item List
IPIP_FULL_1026,Do not believe humans are truly capable of love.,T862,['T862'],T862,IPIP Alphabetical Item List
IPIP_FULL_1027,Do not believe in a universal power or a God.,V282,['V282'],V282,IPIP Alphabetical Item List
IPIP_FULL_1028,Do not care how my actions affect others.,T864,['T864'],T864,IPIP Alphabetical Item List
IPIP_FULL_1029,Do not easily share my feelings with others.,V13,['V13'],V13,IPIP Alphabetical Item List
IPIP_FULL_1030,Do not enjoy going to art museums.,X235,['X235'],X235,IPIP Alphabetical Item List
IPIP_FULL_1031,Do not enjoy kissing.,T867,['T867'],T867,IPIP Alphabetical Item List
IPIP_FULL_1032,Do not enjoy watching dance performances.,X243,['X243'],X243,IPIP Alphabetical Item List
IPIP_FULL_1033,Do not exercise on a regular basis.,V9,['V9'],V9,IPIP Alphabetical Item List
IPIP_FULL_1034,Do not feel close to people.,T868,['T868'],T868,IPIP Alphabetical Item List
IPIP_FULL_1035,Do not give anyone a second chance to hurt me.,V297,['V297'],V297,IPIP Alphabetical Item List
IPIP_FULL_1036,Do not give up easily.,W154,['W154'],W154,IPIP Alphabetical Item List
IPIP_FULL_1037,Do not go out of my way to make others smile or laugh.,V285,['V285'],V285,IPIP Alphabetical Item List
IPIP_FULL_1038,Do not have a good imagination.,X272,['X272'],X272,IPIP Alphabetical Item List
IPIP_FULL_1039,Do not like art.,X86,['X86'],X86,IPIP Alphabetical Item List
IPIP_FULL_1040,Do not like concerts.,X144,['X144'],X144,IPIP Alphabetical Item List
IPIP_FULL_1041,Do not like poetry.,X45,['X45'],X45,IPIP Alphabetical Item List
IPIP_FULL_1042,Do not like reading or hearing opinions that go against my way of thinking.,T873,['T873'],T873,IPIP Alphabetical Item List
IPIP_FULL_1043,Do not like to visit museums.,V186,['V186'],V186,IPIP Alphabetical Item List
IPIP_FULL_1044,Do not make lists.,E86,['E86'],E86,IPIP Alphabetical Item List
IPIP_FULL_1045,Do not make polite excuses.,E13,['E13'],E13,IPIP Alphabetical Item List
IPIP_FULL_1046,Do not often talk about things that I have achieved.,W252,['W252'],W252,IPIP Alphabetical Item List
IPIP_FULL_1047,Do not plan ahead.,E104,['E104'],E104,IPIP Alphabetical Item List
IPIP_FULL_1048,Do not practice any religion.,V66,['V66'],V66,IPIP Alphabetical Item List
IPIP_FULL_1049,"Do not quit easily, even when things are hard.",W318,['W318'],W318,IPIP Alphabetical Item List
IPIP_FULL_1050,Do not see the need to acknowledge others who are good to me.,V213,['V213'],V213,IPIP Alphabetical Item List
IPIP_FULL_1051,Do not stand up for my beliefs.,V53,['V53'],V53,IPIP Alphabetical Item List
IPIP_FULL_1052,Do not take many risks.,W297,['W297'],W297,IPIP Alphabetical Item List
IPIP_FULL_1053,Do not take news at face value.,E34,['E34'],E34,IPIP Alphabetical Item List
IPIP_FULL_1054,Do not tend to stick with what I decide to do.,V313,['V313'],V313,IPIP Alphabetical Item List
IPIP_FULL_1055,Do not think about decisions.,E112,['E112'],E112,IPIP Alphabetical Item List
IPIP_FULL_1056,Do not trust the integrity of the police.,T883,['T883'],T883,IPIP Alphabetical Item List
IPIP_FULL_1057,Do the opposite of what I'm told to do.,V89,['V89'],V89,IPIP Alphabetical Item List
IPIP_FULL_1058,Do the opposite of what is asked.,H497,['H497'],H497,IPIP Alphabetical Item List
IPIP_FULL_1059,Do things according to a plan.,H1351,['H1351'],H1351,IPIP Alphabetical Item List
IPIP_FULL_1060,Do things at my own pace.,H171,['H171'],H171,IPIP Alphabetical Item List
IPIP_FULL_1061,Do things at the last minute.,H858,['H858'],H858,IPIP Alphabetical Item List
IPIP_FULL_1062,Do things behind other people's backs.,H1013,['H1013'],H1013,IPIP Alphabetical Item List
IPIP_FULL_1063,Do things by the book.,H250,['H250'],H250,IPIP Alphabetical Item List
IPIP_FULL_1064,Do things for a reason.,Q33,['Q33'],Q33,IPIP Alphabetical Item List
IPIP_FULL_1065,Do things for no apparent reason.,H932,['H932'],H932,IPIP Alphabetical Item List
IPIP_FULL_1066,Do things in a half-way manner.,H1413,['H1413'],H1413,IPIP Alphabetical Item List
IPIP_FULL_1067,Do things in a logical order.,H1350,['H1350'],H1350,IPIP Alphabetical Item List
IPIP_FULL_1068,Do things my own way.,H366,['H366'],H366,IPIP Alphabetical Item List
IPIP_FULL_1069,Do things out of habit.,H1064,['H1064'],H1064,IPIP Alphabetical Item List
IPIP_FULL_1070,Do things out of revenge.,H710,['H710'],H710,IPIP Alphabetical Item List
IPIP_FULL_1071,Do things that are very out of the ordinary.,T896,['T896'],T896,IPIP Alphabetical Item List
IPIP_FULL_1072,Do things that I don't like to make others happy.,E160,['E160'],E160,IPIP Alphabetical Item List
IPIP_FULL_1073,Do things that I later regret.,E24,['E24'],E24,IPIP Alphabetical Item List
IPIP_FULL_1074,Do things that men traditionally do.,P419,['P419'],P419,IPIP Alphabetical Item List
IPIP_FULL_1075,Do things that others find strange.,H691,['H691'],H691,IPIP Alphabetical Item List
IPIP_FULL_1076,Do things that women traditionally do.,P343,['P343'],P343,IPIP Alphabetical Item List
IPIP_FULL_1077,"Do things well at first, but then drop them.",V318,['V318'],V318,IPIP Alphabetical Item List
IPIP_FULL_1078,Do things without thinking of the consequences.,Q243,['Q243'],Q243,IPIP Alphabetical Item List
IPIP_FULL_1079,Do too little work.,P385,['P385'],P385,IPIP Alphabetical Item List
IPIP_FULL_1080,Do unexpected things.,H893,['H893'],H893,IPIP Alphabetical Item List
IPIP_FULL_1081,Do unpleasant tasks immediately.,E109,['E109'],E109,IPIP Alphabetical Item List
IPIP_FULL_1082,Do what I say.,H267,['H267'],H267,IPIP Alphabetical Item List
IPIP_FULL_1083,Do what others do.,H1049,['H1049'],H1049,IPIP Alphabetical Item List
IPIP_FULL_1084,Do what others want me to do.,H1028,['H1028'],H1028,IPIP Alphabetical Item List
IPIP_FULL_1085,Do whatever comes into my mind.,H573,['H573'],H573,IPIP Alphabetical Item List
IPIP_FULL_1086,Do what's expected.,H321,['H321'],H321,IPIP Alphabetical Item List
IPIP_FULL_1087,Don't act is if I'm a special person.,V110,['V110'],V110,IPIP Alphabetical Item List
IPIP_FULL_1088,Don't act like a show-off.,Q32,['Q32'],Q32,IPIP Alphabetical Item List
IPIP_FULL_1089,Don't always practice what I preach.,P481,['P481'],P481,IPIP Alphabetical Item List
IPIP_FULL_1090,Don't analyze the reasons for my actions.,Q30,['Q30'],Q30,IPIP Alphabetical Item List
IPIP_FULL_1091,Don't approach things halfheartedly.,V133,['V133'],V133,IPIP Alphabetical Item List
IPIP_FULL_1092,Don't attempt to conform to society's expectations.,D37,['D37'],D37,IPIP Alphabetical Item List
IPIP_FULL_1093,Don't bother to make an effort.,H838,['H838'],H838,IPIP Alphabetical Item List
IPIP_FULL_1094,Don't bother with polite conversation.,E74,['E74'],E74,IPIP Alphabetical Item List
IPIP_FULL_1095,Don't bother worrying about political and social problems.,Q222,['Q222'],Q222,IPIP Alphabetical Item List
IPIP_FULL_1096,Don't brag about my accomplishments.,V145,['V145'],V145,IPIP Alphabetical Item List
IPIP_FULL_1097,Don't call attention to myself.,V249,['V249'],V249,IPIP Alphabetical Item List
IPIP_FULL_1098,Don't call people just to talk.,E63,['E63'],E63,IPIP Alphabetical Item List
IPIP_FULL_1099,Don't care about dressing nicely.,E85,['E85'],E85,IPIP Alphabetical Item List
IPIP_FULL_1100,Don't care about rules.,H575,['H575'],H575,IPIP Alphabetical Item List
IPIP_FULL_1101,Don't care if I offend others with bad manners.,T992,['T992'],T992,IPIP Alphabetical Item List
IPIP_FULL_1102,Don't care much about how society tells me to behave.,T993,['T993'],T993,IPIP Alphabetical Item List
IPIP_FULL_1103,Don't care what others think.,E134,['E134'],E134,IPIP Alphabetical Item List
IPIP_FULL_1104,Don't care what people think of me.,E60,['E60'],E60,IPIP Alphabetical Item List
IPIP_FULL_1105,Don't care whether I'm considered special.,P486,['P486'],P486,IPIP Alphabetical Item List
IPIP_FULL_1106,Don't commit myself to things.,H600,['H600'],H600,IPIP Alphabetical Item List
IPIP_FULL_1107,Don't consider a task finished until it's perfect.,T918,['T918'],T918,IPIP Alphabetical Item List
IPIP_FULL_1108,Don't consider myself attractive.,P471,['P471'],P471,IPIP Alphabetical Item List
IPIP_FULL_1109,Don't consider myself religious.,P488,['P488'],P488,IPIP Alphabetical Item List
IPIP_FULL_1110,Don't desire things that others have.,Q155,['Q155'],Q155,IPIP Alphabetical Item List
IPIP_FULL_1111,Don't discard old pictures or snapshots,M22,['M22'],M22,IPIP Alphabetical Item List
IPIP_FULL_1112,Don't enjoy being in the spotlight.,T921,['T921'],T921,IPIP Alphabetical Item List
IPIP_FULL_1113,Don't enjoy being the object of jokes.,P376,['P376'],P376,IPIP Alphabetical Item List
IPIP_FULL_1114,Don't enjoy doing quiet leisure activities.,R41,['R41'],R41,IPIP Alphabetical Item List
IPIP_FULL_1115,Don't fall for sob-stories.,X185,['X185'],X185,IPIP Alphabetical Item List
IPIP_FULL_1116,Don't feel the need to be close to others.,V181,['V181'],V181,IPIP Alphabetical Item List
IPIP_FULL_1117,Don't finish the things that I start.,R12,['R12'],R12,IPIP Alphabetical Item List
IPIP_FULL_1118,Don't finish what I start.,V49,['V49'],V49,IPIP Alphabetical Item List
IPIP_FULL_1119,Don't get excited about things.,H572,['H572'],H572,IPIP Alphabetical Item List
IPIP_FULL_1120,Don't get particularly upset when I lose things.,M31,['M31'],M31,IPIP Alphabetical Item List
IPIP_FULL_1121,Don't get sidetracked when I work.,V261,['V261'],V261,IPIP Alphabetical Item List
IPIP_FULL_1122,Don't have a place I call home.,Q70,['Q70'],Q70,IPIP Alphabetical Item List
IPIP_FULL_1123,Don't have a soft side.,E143,['E143'],E143,IPIP Alphabetical Item List
IPIP_FULL_1124,Don't have much energy.,V211,['V211'],V211,IPIP Alphabetical Item List
IPIP_FULL_1125,Don't have strong feelings about anyone or anything.,V327,['V327'],V327,IPIP Alphabetical Item List
IPIP_FULL_1126,Don't hesitate to express an unpopular opinion.,V82,['V82'],V82,IPIP Alphabetical Item List
IPIP_FULL_1127,Don't indulge in violence.,Q224,['Q224'],Q224,IPIP Alphabetical Item List
IPIP_FULL_1128,Don't know how to handle myself in a new social situation.,V43,['V43'],V43,IPIP Alphabetical Item List
IPIP_FULL_1129,Don't know much about history.,Q82,['Q82'],Q82,IPIP Alphabetical Item List
IPIP_FULL_1130,Don't know what I really want.,A145,['A145'],A145,IPIP Alphabetical Item List
IPIP_FULL_1131,Don't know what's going on inside me.,A61,['A61'],A61,IPIP Alphabetical Item List
IPIP_FULL_1132,Don't know why I do some of the things I do.,E57,['E57'],E57,IPIP Alphabetical Item List
IPIP_FULL_1133,Don't know why I'm angry.,A30,['A30'],A30,IPIP Alphabetical Item List
IPIP_FULL_1134,Don't learn from my experiences.,H1400,['H1400'],H1400,IPIP Alphabetical Item List
IPIP_FULL_1135,Don't let an illness or injury change my daily habits.,C10,['C10'],C10,IPIP Alphabetical Item List
IPIP_FULL_1136,Don't let little things anger me.,T998,['T998'],T998,IPIP Alphabetical Item List
IPIP_FULL_1137,Don't let others cut in front of me in line.,P378,['P378'],P378,IPIP Alphabetical Item List
IPIP_FULL_1138,Don't let others discourage me.,H368,['H368'],H368,IPIP Alphabetical Item List
IPIP_FULL_1139,Don't let others take credit for my work.,P361,['P361'],P361,IPIP Alphabetical Item List
